"BR-TO";"UN-SAMERICA"
"BS";"RLA"
"BS";"UN-AMERICAS"
"BS";"UN-CARIBBEAN"
"BT";"Asia without China"
"BT";"RAS"
"BT";"SAS"
"BT";"UN-ASIA"
"BV";"ENTSO-E"
"BV";"Europe without Switzerland"
"BV";"Europe without Switzerland and France"
"BV";"Europe, without Russia and Turkey"
"BV";"IAI Area, EU27 & EFTA"
"BV";"NO"
"BV";"NORDEL"
"BV";"RER"
"BV";"RER w/o AT+BE+CH+DE+FR+IT"
"BV";"RER w/o CH+DE"
"BV";"RER w/o DE+NL+RU"
"BV";"UN-EUROPE"
"BV";"UN-NEUROPE"
"BW";"RAF"
"BW";"UN-SASIA"
"BY";"Europe without NORDEL (NCPA)"
"BY";"Europe without Switzerland"
"BY";"Europe without Switzerland and France"
"BY";"Europe, without Russia and Turkey"
"BY";"FSU"
"BY";"RER"
"BY";"RER w/o AT+BE+CH+DE+FR+IT"
"BY";"RER w/o CH+DE"
"BY";"RER w/o DE+NL+NO"
"BY";"RER w/o DE+NL+NO+RU"
"BY";"RER w/o DE+NL+RU"
"BY";"UN-EEUROPE"
"BY";"UN-EUROPE"
"BZ";"RLA"
"BZ";"UN-AMERICAS"
"BZ";"UN-CAMERICA"
"CA";"IAI Area 2, North America"
"CA";"NAFTA"
"CA";"RNA"
"CA";"UN-AMERICAS"
"CA-AB";"CA"
"CA-AB";"Canada without Quebec"
"CA-AB";"IAI Area 2, North America"
"CA-AB";"IAI Area 2, without Quebec"
"CA-AB";"NAFTA"
"CA-AB";"RNA"
"CA-AB";"UN-AMERICAS"
"CA-AB";"WECC"
"CA-BC";"CA"
"CA-BC";"Canada without Alberta"
"CA-BC";"Canada without Alberta and Quebec"
"CA-BC";"Canada without Quebec"
"CA-BC";"IAI Area 2, North America"
"CA-BC";"IAI Area 2, without Quebec"
"CA-BC";"NAFTA"
"CA-BC";"RNA"
"CA-BC";"UN-AMERICAS"
"CA-BC";"WECC"
"CA-MB";"CA"
"CA-MB";"Canada without Alberta"
"CA-MB";"Canada without Alberta and Quebec"
"CA-MB";"Canada without Quebec"
"CA-MB";"IAI Area 2, North America"
"CA-MB";"IAI Area 2, without Quebec"
"CA-MB";"MRO"
"CA-MB";"NAFTA"
"CA-MB";"RNA"
"CA-MB";"UN-AMERICAS"
"CA-NB";"CA"
"CA-NB";"Canada without Alberta"
"CA-NB";"Canada without Alberta and Quebec"
"CA-NB";"Canada without Quebec"
"CA-NB";"IAI Area 2, North America"
"CA-NB";"IAI Area 2, without Quebec"
"CA-NB";"NAFTA"
"CA-NB";"NPCC"
"CA-NB";"RNA"
"CA-NB";"UN-AMERICAS"
"CA-NF";"CA"
"CA-NF";"Canada without Alberta"
"CA-NF";"Canada without Alberta and Quebec"
"CA-NF";"Canada without Quebec"
"CA-NF";"IAI Area 2, North America"
"CA-NF";"IAI Area 2, without Quebec"
"CA-NF";"NAFTA"
"CA-NF";"RNA"
"CA-NF";"UN-AMERICAS"
"CA-NS";"CA"
"CA-NS";"Canada without Alberta"
"CA-NS";"Canada without Alberta and Quebec"
"CA-NS";"Canada without Quebec"
"CA-NS";"IAI Area 2, North America"
"CA-NS";"IAI Area 2, without Quebec"
"CA-NS";"NAFTA"
"CA-NS";"NPCC"
"CA-NS";"RNA"
"CA-NS";"UN-AMERICAS"
"CA-NT";"CA"
"CA-NT";"Canada without Alberta"
"CA-NT";"Canada without Alberta and Quebec"
"CA-NT";"Canada without Quebec"
"CA-NT";"IAI Area 2, North America"
"CA-NT";"IAI Area 2, without Quebec"
"CA-NT";"NAFTA"
"CA-NT";"RNA"
"CA-NT";"UN-AMERICAS"
"CA-NU";"CA"
"CA-NU";"Canada without Alberta"
"CA-NU";"Canada without Alberta and Quebec"
"CA-NU";"Canada without Quebec"
"CA-NU";"IAI Area 2, North America"
"CA-NU";"IAI Area 2, without Quebec"
"CA-NU";"NAFTA"
"CA-NU";"RNA"
"CA-NU";"UN-AMERICAS"
"CA-ON";"CA"
"CA-ON";"Canada without Alberta"
"CA-ON";"Canada without Alberta and Quebec"
"CA-ON";"Canada without Quebec"
"CA-ON";"IAI Area 2, North America"
"CA-ON";"IAI Area 2, without Quebec"
"CA-ON";"NAFTA"
"CA-ON";"NPCC"
"CA-ON";"RNA"
"CA-ON";"UN-AMERICAS"
"CA-PE";"CA"
"CA-PE";"Canada without Alberta"
"CA-PE";"Canada without Alberta and Quebec"
"CA-PE";"Canada without Quebec"
"CA-PE";"IAI Area 2, North America"
"CA-PE";"IAI Area 2, without Quebec"
"CA-PE";"NAFTA"
"CA-PE";"NPCC"
"CA-PE";"RNA"
"CA-PE";"UN-AMERICAS"
"CA-QC";"CA"
"CA-QC";"Canada without Alberta"
"CA-QC";"IAI Area 2, North America"
"CA-QC";"NAFTA"
"CA-QC";"NPCC"
"CA-QC";"Qu̩bec, HQ distribution network"
"CA-QC";"RNA"
"CA-QC";"UN-AMERICAS"
"CA-SK";"CA"
"CA-SK";"Canada without Alberta"
"CA-SK";"Canada without Alberta and Quebec"
"CA-SK";"Canada without Quebec"
"CA-SK";"IAI Area 2, North America"
"CA-SK";"IAI Area 2, without Quebec"
"CA-SK";"MRO"
"CA-SK";"NAFTA"
"CA-SK";"RNA"
"CA-SK";"UN-AMERICAS"
"CA-YK";"CA"
"CA-YK";"Canada without Alberta"
"CA-YK";"Canada without Alberta and Quebec"
"CA-YK";"Canada without Quebec"
"CA-YK";"IAI Area 2, North America"
"CA-YK";"IAI Area 2, without Quebec"
"CA-YK";"NAFTA"
"CA-YK";"RNA"
"CA-YK";"UN-AMERICAS"
"CD";"RAF"
"CD";"UN-MAFRICA"
"CENTREL";"ENTSO-E"
"CENTREL";"Europe without NORDEL (NCPA)"
"CENTREL";"Europe without Switzerland"
"CENTREL";"Europe without Switzerland and France"
"CENTREL";"Europe, without Russia and Turkey"
"CENTREL";"RER"
"CENTREL";"RER w/o AT+BE+CH+DE+FR+IT"
"CENTREL";"RER w/o CH+DE"
"CENTREL";"RER w/o DE+NL+NO"
"CENTREL";"RER w/o DE+NL+NO+RU"
"CENTREL";"RER w/o DE+NL+RU"
"CENTREL";"UCTE"
"CENTREL";"UCTE without France"
"CENTREL";"UCTE without Germany"
"CENTREL";"UCTE without Germany and France"
"CENTREL";"UN-EEUROPE"
"CENTREL";"UN-EUROPE"
"CF";"RAF"
"CF";"UN-MAFRICA"
"CG";"RAF"
"CG";"UN-MAFRICA"
"CH";"ENTSO-E"
"CH";"Europe without NORDEL (NCPA)"
"CH";"Europe, without Russia and Turkey"
"CH";"RER"
"CH";"RER w/o DE+NL+NO+RU"
"CH";"RER w/o DE+NL+RU"
"CH";"UCTE"
"CH";"UCTE without France"
"CH";"UCTE without Germany"
"CH";"UCTE without Germany and France"
"CH";"UN-EUROPE"
"CH";"WEU"
"CI";"RAF"
"CI";"UN-WAFRICA"
"CK";"UN-OCEANIA"
"CK";"UN-POLYNESIA"
"CL";"RLA"
"CL";"UN-AMERICAS"
"CL";"UN-SAMERICA"
"CM";"IAI Area 1, Africa"
"CM";"RAF"
"CM";"UN-MAFRICA"
"CN";"RAS"
"CN";"UN-ASIA"
"CN";"UN-EASIA"
"CN-AH";"CN"
"CN-AH";"RAS"
"CN-AH";"SGCC"
"CN-AH";"UN-ASIA"
"CN-AH";"UN-EASIA"
"CN-BJ";"CN"
"CN-BJ";"RAS"
"CN-BJ";"SGCC"
"CN-BJ";"UN-ASIA"
"CN-BJ";"UN-EASIA"
"CN-CQ";"CN"
"CN-CQ";"RAS"
"CN-CQ";"SGCC"
"CN-CQ";"UN-ASIA"
"CN-CQ";"UN-EASIA"
"CN-FJ";"CN"
"CN-FJ";"RAS"
"CN-FJ";"SGCC"
"CN-FJ";"UN-ASIA"
"CN-FJ";"UN-EASIA"
"CN-GD";"CN"
"CN-GD";"CSG"
"CN-GD";"RAS"
"CN-GD";"UN-ASIA"
"CN-GD";"UN-EASIA"
"CN-GS";"CN"
"CN-GS";"RAS"
"CN-GS";"SGCC"
"CN-GS";"UN-ASIA"
"CN-GS";"UN-EASIA"
"CN-GX";"CN"
"CN-GX";"CSG"
"CN-GX";"RAS"
"CN-GX";"UN-ASIA"
"CN-GX";"UN-EASIA"
"CN-GZ";"CN"
"CN-GZ";"CSG"
"CN-GZ";"RAS"
"CN-GZ";"UN-ASIA"
"CN-GZ";"UN-EASIA"
"CN-HA";"CN"
"CN-HA";"CSG"
"CN-HA";"RAS"
"CN-HA";"UN-ASIA"
"CN-HA";"UN-EASIA"
"CN-HB";"CN"
"CN-HB";"RAS"
"CN-HB";"SGCC"
"CN-HB";"UN-ASIA"
"CN-HB";"UN-EASIA"
"CN-HE";"CN"
"CN-HE";"RAS"
"CN-HE";"SGCC"
"CN-HE";"UN-ASIA"
"CN-HE";"UN-EASIA"
"CN-HL";"CN"
"CN-HL";"RAS"
"CN-HL";"SGCC"
"CN-HL";"UN-ASIA"
"CN-HL";"UN-EASIA"
"CN-HN";"CN"
"CN-HN";"RAS"
"CN-HN";"SGCC"
"CN-HN";"UN-ASIA"
"CN-HN";"UN-EASIA"
"CN-HU";"CN"
"CN-HU";"RAS"
"CN-HU";"SGCC"
"CN-HU";"UN-ASIA"
"CN-HU";"UN-EASIA"
"CN-JL";"CN"
"CN-JL";"RAS"
"CN-JL";"SGCC"
"CN-JL";"UN-ASIA"
"CN-JL";"UN-EASIA"
"CN-JS";"CN"
"CN-JS";"RAS"
"CN-JS";"SGCC"
"CN-JS";"UN-ASIA"
"CN-JS";"UN-EASIA"
"CN-JX";"CN"
"CN-JX";"RAS"
"CN-JX";"SGCC"
"CN-JX";"UN-ASIA"
"CN-JX";"UN-EASIA"
"CN-LN";"CN"
"CN-LN";"RAS"
"CN-LN";"SGCC"
"CN-LN";"UN-ASIA"
"CN-LN";"UN-EASIA"
"CN-NM";"CN"
"CN-NM";"RAS"
"CN-NM";"SGCC"
"CN-NM";"UN-ASIA"
"CN-NM";"UN-EASIA"
"CN-NX";"CN"
"CN-NX";"RAS"
"CN-NX";"SGCC"
"CN-NX";"UN-ASIA"
"CN-NX";"UN-EASIA"
"CN-QH";"CN"
"CN-QH";"RAS"
"CN-QH";"SGCC"
"CN-QH";"UN-ASIA"
"CN-QH";"UN-EASIA"
"CN-SA";"CN"
"CN-SA";"RAS"
"CN-SA";"SGCC"
